site_code,lat_start,lon_start,lat_end,lon_end,date,start_time,end_time,transect,quadrat,taxonID,rank,length,width,personnel,notes
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,1,Zmarina,1,165,7,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,1,Zmarina,2,472,8,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,1,Zmarina,3,652,9,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,1,Zmarina,4,730,9,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,3,Zmarina,1,206,4,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,3,Zmarina,2,432,4,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,3,Zmarina,3,550,4,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,3,Zmarina,4,548,4,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,5,Zmarina,1,240,3,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,5,Zmarina,2,452,4,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,5,Zmarina,3,634,3,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,5,Zmarina,4,738,4,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,7,Zmarina,1,310,4,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,7,Zmarina,2,620,5,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,7,Zmarina,3,698,5,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,7,Zmarina,4,652,5,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,1,Zmarina,1,318,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,1,Zmarina,2,298,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,1,Zmarina,3,498,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,3,Zmarina,1,170,3,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,3,Zmarina,2,400,3,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,3,Zmarina,3,550,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,3,Zmarina,4,598,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,5,Zmarina,1,150,3,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,5,Zmarina,2,364,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,5,Zmarina,3,454,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,5,Zmarina,4,292,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,7,Zmarina,5,86,1,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,7,Zmarina,1,118,3,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,7,Zmarina,2,304,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,7,Zmarina,3,476,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,7,Zmarina,4,560,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,2,7,Zmarina,6,620,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,1,Zmarina,1,240,2,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,1,Zmarina,2,378,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,1,Zmarina,3,452,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,1,Zmarina,4,390,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,3,Zmarina,1,352,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,3,Zmarina,2,498,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,3,Zmarina,3,504,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,3,Zmarina,4,496,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,1,364,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,2,604,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,3,696,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,4,438,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,5,594,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,1,240,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,2,460,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,3,444,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,4,574,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,5,510,5,Whippo | Jones | Fliearman,
